TYPE,IDENTIFIER,GRAMMAR_PATTERN,POSITION,NORMALIZED_POSITION,CONTEXT,WORD,CORRECT_TAG,SYSTEM,IDENTIFIER_CODE
objectlist*,xodtemplate expand host groups and hosts,PRE V NM NPL CJ NPL,3,1,4,groups,NPL,cloned_repositories/naemon-core.git/src/naemon/xodtemplate.c,1622
objectlist*,xodtemplate expand host groups and hosts,PRE V NM NPL CJ NPL,5,2,4,hosts,NPL,cloned_repositories/naemon-core.git/src/naemon/xodtemplate.c,1622
boolean,after Equals,P NPL,1,2,3,Equals,NPL,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/database/ProfiledConnection.java,1625
ovs_list,change set for tables,NM N P NPL,3,2,1,tables,NPL,cloned_repositories/ovs.git/ovsdb/monitor.c,1648
void*,scan for sliders,V P NPL,2,2,4,sliders,NPL,cloned_repositories/panda3d.git/pandatool/src/eggcharbase/eggCharacterCollection.cxx,1667
igraph_bool_t,only indices,VM NPL,1,2,5,indices,NPL,cloned_repositories/rigraph.git/src/include/igraph_structural.h,1668
String,path Name for Logs,NM N P NPL,3,2,5,Logs,NPL,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/data/CuratorAsyncManager.java,1674
boolean,too Many Shuffling Tasks,VM NM V NPL,3,2,3,Tasks,NPL,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/scheduler/SingularityTaskShuffler.java,1676
AfterXStanzas,after X Stanzas,P D NPL,2,2,1,Stanzas,NPL,cloned_repositories/Smack.git/smack-streammanagement/src/main/java/org/jivesoftware/smack/sm/predicates/ForMatchingPredicateOrAfterXStanzas.java,1680
void,after Filters Closed,P NPL V,1,1,4,Filters,NPL,cloned_repositories/Smack.git/smack-tcp/src/main/java/org/jivesoftware/smack/tcp/XmppTcpTransportModule.java,1681
void*,plugin if main window update toolbars,N CJ NM N V NPL,5,2,4,toolbars,NPL,cloned_repositories/wireshark.git/ui/logray/logray_main_window.cpp,1734
Map,action To Index Map,N P NM N,1,1,1,To,P,{'gimp.srcml.xml_identifiers'},0
boolean,add Bias To Embedding,V N P N,2,1,1,To,P,{'gimp.srcml.xml_identifiers'},4
uint,average In Bucket Used Slot Count,N P NM NM NM N,1,1,1,In,P,{'jenkins.srcml.xml_identifiers'},12
bool,depth Stencil As Texture,NM N P N,2,1,1,As,P,{'openFrameworks.srcml.xml_identifiers'},54
VerificationMode inOrderWrappedVerificationMode,in Order Wrapped Verification Mode,P N NM NM N,0,0,1,in,P,{'bullet3.srcml.xml_identifiers'},93
String,INDEX PREFIX WITH TEMPLATE,NM N P N,2,1,1,WITH,P,{'jenkins.srcml.xml_identifiers'},95
int,index To Loc Format,N P NM N,1,1,1,To,P,{'calligra.srcml.xml_identifiers'},96
HashMap,language To Rules Files,N P NM NPL,1,1,1,To,P,{'swift.srcml.xml_identifiers'},114
bool,m execute On Host,PRE V P N,2,1,1,On,P,{'mockito.srcml.xml_identifiers'},123
OnItemLongClickListener,on Item Long Click Listener,P NM NM NM N,0,0,1,on,P,{'jenkins.srcml.xml_identifiers'},180
int,print Features Up to,V NPL VM P,3,2,1,to,P,{'elasticsearch.srcml.xml_identifiers'},194
String,REFRESH INTERVAL IN MILLIS,NM N P NPL,2,1,1,IN,P,{'corenlp.srcml.xml_identifiers'},202
Map,state To Grammar Region Map,N P NM NM N,1,1,1,To,P,{'calligra.srcml.xml_identifiers'},229
CombinePaintMaskToCanvasBufferToPaintBufAlpha,Combine Paint Mask To Canvas Buffer To Paint Buf Alpha,NM NM N P NM N P NM NM N,3,1,2,To,P,{'gimp.srcml.xml_identifiers.idents'},321
CombinePaintMaskToCanvasBufferToPaintBufAlpha,Combine Paint Mask To Canvas Buffer To Paint Buf Alpha,NM NM N P NM N P NM NM N,6,1,2,To,P,{'gimp.srcml.xml_identifiers.idents'},321
GlobalsAsMembersTableReaderInfo,Globals As Members Table Reader Info,NPL P NPL NM NM N,1,1,2,As,P,{'swift.srcml.xml_identifiers'},375
GroupByContext,Group By Context,N P N,1,1,2,By,P,{'elasticsearch.srcml.xml_identifiers'},377
ScrollIdForNode,Scroll Id For Node,NM N P N,2,1,2,For,P,{'elasticsearch.srcml.xml_identifiers'},483
ToStringWalker,To String Walker,P N N,0,0,2,To,P,{'grpc.srcml.xml_identifiers'},511
User2InternalIndex,User 2 Internal Index,N P NM N,1,1,2,2,P,{'bullet3.srcml.xml_identifiers'},521
qreal,angle In Radian,N P N,1,1,3,In,P,{'calligra.srcml.xml_identifiers'},543
Field,compare Fields By Name,V NPL P N,2,1,3,By,P,{'mockito.srcml.xml_identifiers'},574
boolean,end Of Input,N P N,1,1,3,Of,P,{'antlr4.srcml.xml_identifiers'},595
btVector3,from Local Aabb Min,P NM NM N,0,0,3,from,P,{'bullet3.srcml.xml_identifiers'},624
String,generated Token On Creation,NM N P N,2,1,3,On,P,{'jenkins.srcml.xml_identifiers'},627
Strategy,in Cache,P N,0,0,3,in,P,{'Telegram.srcml.xml_identifiers'},636
Integer[],indexes Of Suspicious Args,NPL P NM NPL,1,1,3,Of,P,{'mockito.srcml.xml_identifiers'},637
double,items per second,NPL P N,1,1,3,per,P,{'grpc.srcml.xml_identifiers'},647
int16t,num Vec Per Segment,NM N P N,2,1,3,Per,P,{'Telegram.srcml.xml_identifiers'},697
int,num Verts In A,NM NPL P N,2,1,3,In,P,{'bullet3.srcml.xml_identifiers'},698
u32,number Of Joysticks,N P NPL,1,1,3,Of,P,{'irrlicht.srcml.xml_identifiers'},699
OrderWith,order With,V P,1,2,3,With,P,{'junit4.srcml.xml_identifiers'},704
List,rules Of New Chain,N P NM N,1,1,3,Of,P,{'junit4.srcml.xml_identifiers'},740
int,size Per Span,N P N,1,1,3,Per,P,{'Telegram.srcml.xml_identifiers'},750
double[],to XYZ,P N,0,0,3,to,P,{'bullet3.srcml.xml_identifiers'},772
Real,tranched Loss After,NM N P,2,2,3,After,P,{'QuantLib.srcml.xml_identifiers'},776
VerificationOverTimeImpl,verification Over Time,N P N,1,1,3,Over,P,{'mockito.srcml.xml_identifiers'},792
long,wait Until,V P,1,2,3,Until,P,{'jenkins.srcml.xml_identifiers'},793
gboolean,within vertically,P VM,0,0,3,within,P,{'gimp.srcml.xml_identifiers'},796
void,Add Log To Stream,V N P N,2,1,4,To,P,{'mockito.srcml.xml_identifiers'},802
void,add Unicode Script Codes To Names,V NM NM NPL P NPL,4,1,4,To,P,{'blender.srcml.xml_identifiers'},805
void,after Channel,P N,0,0,4,after,P,{'grpc.srcml.xml_identifiers'},807
int,ares expand name for response,PRE V N P N,3,1,4,for,P,{'opencv.srcml.xml_identifiers'},812
string,Convert To Php Namespace,V P NM N,1,1,4,To,P,{'gimp.srcml.xml_identifiers'},835
bool,do Print After,V V P,2,2,4,After,P,{'opencv.srcml.xml_identifiers'},852
void,dump Core Map To String Builder,V NM N P NM N,3,1,4,To,P,{'swift.srcml.xml_identifiers'},854
Set,expand Headers From Request,V NPL P N,2,1,4,From,P,{'corenlp.srcml.xml_identifiers'},861
Class,extract Raw Type Of,V NM NM P,3,2,4,Of,P,{'ogre.srcml.xml_identifiers'},863
BytesReference,from Byte Buffers,P NM NPL,0,0,4,from,P,{'QuantLib.srcml.xml_identifiers'},870
ConstantReference,get Constant Reference For Protocol Descriptor,V NM N P NM N,3,1,4,For,P,{'gimp.srcml.xml_identifiers'},877
String,get Id For Name,V N P N,2,1,4,For,P,{'junit4.srcml.xml_identifiers'},886
int,get Number Of Transitions,V N P NPL,2,1,4,Of,P,{'okhttp.srcml.xml_identifiers'},895
boolean,is Blocked By Shutdown,V V P N,2,1,4,By,P,{'ogre.srcml.xml_identifiers'},925
bool,in SCC,P N,0,0,4,in,P,{'Telegram.srcml.xml_identifiers'},927
void,init For Group,V P N,1,1,4,For,P,{'gimp.srcml.xml_identifiers'},929
List,keep Readability Only On Descendants,V NM VM P NPL,3,1,4,On,P,{'irrlicht.srcml.xml_identifiers'},939
void,mark As Fetching,V P V,1,1,4,As,P,{'swift.srcml.xml_identifiers'},944
boolean,match By IP,V P N,1,1,4,By,P,{'grpc.srcml.xml_identifiers'},945
ShaderOutput,node find output by name,N V N P N,3,1,4,by,P,{'QuantLib.srcml.xml_identifiers'},953
MockitoException,null Passed To Verify No More Interactions,N V P V VM DT NPL,2,1,4,To,P,{'kdevelop.srcml.xml_identifiers'},955
Object,object With To String,N P P N,1,1,4,With,P,{'QuantLib.srcml.xml_identifiers'},957
Object,object With To String,N P P N,2,1,4,To,P,{'QuantLib.srcml.xml_identifiers'},957
string,of To Binary,PRE P N,1,1,4,To,P,{'calligra.srcml.xml_identifiers'},958
void,on Group Call Key Sent,P NM NM N NM,0,0,4,on,P,{'antlr4.srcml.xml_identifiers'},959
Void,on Implies,P V,0,0,4,on,P,{'grpc.srcml.xml_identifiers'},960
Request,order With,V P,1,2,4,With,P,{'calligra.srcml.xml_identifiers'},962
QString,path With Native Separators,N P NM NPL,1,1,4,With,P,{'corenlp.srcml.xml_identifiers'},968
void,presentation Start From First,N V P NM,2,1,4,From,P,{'gimp.srcml.xml_identifiers'},976
void,register With Volatility Spread,V P NM N,1,1,4,With,P,{'junit4.srcml.xml_identifiers'},987
void,repress Ref At Loc,V N P N,2,1,4,At,P,{'bullet3.srcml.xml_identifiers'},993
void,rgb 2 rgb565,N P N,1,1,4,2,P,{'blender.srcml.xml_identifiers'},999
void,rgbx 2 bgrx,N P N,1,1,4,2,P,{'QuantLib.srcml.xml_identifiers'},1000
void,save As Quadratic Png,V P NM N,1,1,4,As,P,{'junit4.srcml.xml_identifiers'},1004
void,shader data to shader globals,NM NPL P NM NPL,2,1,4,to,P,{'grpc.srcml.xml_identifiers'},1021
void,tessellate To Mesh,V P N,1,1,4,To,P,{'mockito.srcml.xml_identifiers'},1037
HttpUrl,url From Json,N P N,1,1,4,From,P,{'junit4.srcml.xml_identifiers'},1049
Challenge,with Charset,P N,0,0,4,with,P,{'QuantLib.srcml.xml_identifiers'},1057
MakeCms,with Cms Leg Rule,P NM NM N,0,0,4,with,P,{'calligra.srcml.xml_identifiers'},1058
ModelSettings,with Market Rate Accuracy,P NM NM N,0,0,4,with,P,{'antlr4.srcml.xml_identifiers'},1059
Settings,with Rate Bound,P NM N,0,0,4,with,P,{'jenkins.srcml.xml_identifiers'},1060
MockResponse,with Web Socket Upgrade,P NM NM N,0,0,4,with,P,{'grpc.srcml.xml_identifiers'},1061
vec3,world To Screen,N P N,1,1,4,To,P,{'corenlp.srcml.xml_identifiers'},1063
int,code Point To,NM N P,2,2,5,To,P,{'antlr4.srcml.xml_identifiers'},1107
gboolean,destroy with parent,V P N,1,1,5,with,P,{'gimp.srcml.xml_identifiers'},1129
boolean,from Server,P N,0,0,5,from,P,{'Telegram.srcml.xml_identifiers'},1157
int,max Requests Per Host,NM NPL P N,2,1,5,Per,P,{'okhttp.srcml.xml_identifiers'},1200
grpcclosure,on connect,P N,0,0,5,on,P,{'grpc.srcml.xml_identifiers'},1224
Map,pre Map,P N,0,0,5,pre,P,{'corenlp.srcml.xml_identifiers'},1247
long,query Timeout In Ms,NM N P NPL,2,1,5,In,P,{'elasticsearch.srcml.xml_identifiers'},1260
vector3df,rotation Per Second,N P N,1,1,5,Per,P,{'irrlicht.srcml.xml_identifiers'},1280
ImVec2,size on first use,N P NM N,1,1,5,on,P,{'bullet3.srcml.xml_identifiers'},1292
int,times To Append Last Matcher,NPL P V NM N,1,1,5,To,P,{'mockito.srcml.xml_identifiers'},1313
Token,token Within Action,N P N,1,1,5,Within,P,{'antlr4.srcml.xml_identifiers'},1314
u32,validate On,V P,1,2,5,On,P,{'irrlicht.srcml.xml_identifiers'},1323
Dtype,caffe next after,PRE DT P,2,2,4,after,P,cloned_repositories/caffe.git/src/caffe/util/math_functions.cpp,1336
u8,more To Follow,DT P V,1,1,5,To,P,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,1344
Long,last Save Every Ms No Since Last,DT N DT N DT P DT,5,1,1,Since,P,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/optimize/listeners/CheckpointListener.java,1359
int,last Index Of Dot,DT N P N,2,1,3,Of,P,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/SourceNames.java,1398
bool,monitor everything by default,V DT P N,2,1,5,by,P,cloned_repositories/ovs.git/lib/ovsdb-idl.c,1424
int,no of groups,N P NPL,1,1,5,of,P,cloned_repositories/rigraph.git/src/core/scg/scg.c,1453
TaskStatus,next In Memory,DT P N,1,1,4,In,P,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/mesos/StatusUpdateQueue.java,1469
Int64,as Int64,P N,0,0,4,as,P,cloned_repositories/toggldesktop.git/third_party/jsoncpp/src/lib_json/json_value.cpp,1479
void*,irc notify new for all servers,PRE PRE NM P DT NPL,3,1,4,for,P,cloned_repositories/weechat.git/src/plugins/irc/irc-notify.c,1491
void,fprint all protocols for layer types,V DT NPL P NM NPL,3,1,4,for,P,cloned_repositories/wireshark.git/ui/decode_as_utils.c,1500
Map,all Function Holders By Jar,DT NM NM P N,3,1,3,By,P,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/registry/FunctionRegistryHolder.java,1520
int,next Partition To Return,DT N P N,2,1,1,To,P,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/aggregate/HashAggTemplate.java,1521
ReadStatus,next Page From Queue,DT NM P N,2,1,4,From,P,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/columnreaders/AsyncPageReader.java,1532
void,add before forward,V P N,1,1,4,before,P,cloned_repositories/caffe.git/include/caffe/net.hpp,1542
void,Net before forward,PRE P N,1,1,4,before,P,cloned_repositories/caffe.git/python/caffe/_caffe.cpp,1545
ebb_after_write_cb,after write cb,P V N,0,0,1,after,P,cloned_repositories/ccv.git/serve/ebb.h,1552
void,before handle,P N,0,0,4,before,P,cloned_repositories/crow.git/examples/example.cpp,1558
request,after handle,P N,0,0,3,after,P,cloned_repositories/crow.git/include/crow/middleware.h,1559
bool,all space after,DT N P,2,2,3,after,P,cloned_repositories/crow.git/include/crow/mustache.h,1560
bool,all space before,DT N P,2,2,3,before,P,cloned_repositories/crow.git/include/crow/mustache.h,1561
boolean,for Backprop,P N,0,0,5,for,P,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/layers/variational/VariationalAutoencoder.java,1562
int,index as child,V P N,1,1,1,as,P,cloned_repositories/deeplearning4j.git/libnd4j/include/ops/declarable/helpers/impl/ctcBeam.cpp,1563
int,index as parent,V P N,1,1,1,as,P,cloned_repositories/deeplearning4j.git/libnd4j/include/ops/declarable/helpers/impl/ctcBeam.cpp,1564
OpListType,for Number,P N,0,0,4,for,P,cloned_repositories/deeplearning4j.git/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/ir/MapperNamespace.java,1565
ForWhat,m for What,PRE P DT,1,1,1,for,P,cloned_repositories/freeminer.git/lib/catch2/catch.hpp,1568
char*,as C String,P NM N,0,0,4,as,P,cloned_repositories/freeminer.git/lib/jsoncpp/jsoncpp.cpp,1569
bool,btn down for dig,NM VM P N,2,1,1,for,P,cloned_repositories/freeminer.git/src/client/game.cpp,1572
bool,save before unloading,V P V,1,1,3,before,P,cloned_repositories/freeminer.git/src/map.cpp,1574
bool,only in ground,VM P N,1,1,1,in,P,cloned_repositories/freeminer.git/src/mapgen/dungeongen.h,1576
bool,has after destruct,V P N,1,1,1,after,P,cloned_repositories/freeminer.git/src/nodedef.h,1577
git_diff_file,as file,P N,0,0,5,as,P,cloned_repositories/git2r.git/src/libgit2/src/libgit2/diff_file.h,1580
int,git diff commit as email,PRE V N P N,3,1,4,as,P,cloned_repositories/git2r.git/src/libgit2/src/libgit2/diff.c,1581
int*,merge driver name for path,V NM N P N,3,1,4,for,P,cloned_repositories/git2r.git/src/libgit2/src/libgit2/merge_driver.c,1582
int*,git repository head detached for work tree,PRE NM N V P NM N,4,1,4,for,P,cloned_repositories/git2r.git/src/libgit2/src/libgit2/repository.c,1584
int,cr at eol only,N P N VM,1,1,3,at,P,cloned_repositories/git2r.git/src/libgit2/src/libgit2/xdiff/xutils.c,1585
Function,as Function,P N,0,0,1,as,P,cloned_repositories/guava.git/android/guava/src/com/google/common/escape/Escaper.java,1587
V,as V,P N,0,0,3,as,P,cloned_repositories/guava.git/android/guava/src/com/google/common/util/concurrent/AbstractFuture.java,1588
Writer,as Writer,P N,0,0,4,as,P,cloned_repositories/guava.git/guava/src/com/google/common/io/CharStreams.java,1592
long,as Long,P N,0,0,3,as,P,cloned_repositories/guava.git/guava/src/com/google/common/primitives/UnsignedInts.java,1593
List,as Stripes,P N,0,0,3,as,P,cloned_repositories/guava.git/guava/src/com/google/common/util/concurrent/Striped.java,1594
String,as String,P N,0,0,3,as,P,cloned_repositories/immutables.git/criteria/geode/src/org/immutables/criteria/geode/OqlLiterals.java,1595
Context,in for,P N,0,0,4,in,P,cloned_repositories/immutables.git/generator-processor/src/org/immutables/generator/processor/TemplateWriter.java,1596
Expression,as Transform Generator Transform,P NM NM N,0,0,4,as,P,cloned_repositories/immutables.git/generator-processor/src/org/immutables/generator/processor/TypeResolver.java,1597
ClassToInstanceMap,after Processing,P V,0,0,1,after,P,cloned_repositories/immutables.git/generator/src/org/immutables/generator/EnvironmentState.java,1599
ClassToInstanceMap,after Round,P N,0,0,1,after,P,cloned_repositories/immutables.git/generator/src/org/immutables/generator/EnvironmentState.java,1600
Object,as Diamond,P N,0,0,3,as,P,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/AbstractValuesTemplate.java,1601
Reporter,for Annotation,P N,0,0,4,for,P,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/Reporter.java,1603
boolean,for Attribute,P N,0,0,1,for,P,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/TypeStringProvider.java,1604
int,as warning,P N,0,0,5,as,P,cloned_repositories/libxo.git/libxo/libxo.c,1606
auto,after 1,P D,0,0,3,after,P,cloned_repositories/meta.git/src/analyzers/filters/ptb_normalizer.cpp,1610
auto,after 2,P D,0,0,3,after,P,cloned_repositories/meta.git/src/analyzers/filters/ptb_normalizer.cpp,1611
linear_model,for avg,P N,0,0,3,for,P,cloned_repositories/meta.git/src/parser/sr_parser.cpp,1616
void,check for host flapping,V P N V,1,1,4,for,P,cloned_repositories/naemon-core.git/src/naemon/flapping.c,1620
int*,is valid escalation for service notification,V NM N P NM N,3,1,4,for,P,cloned_repositories/naemon-core.git/src/naemon/notifications.c,1621
boolean,after Equals,P NPL,0,0,3,after,P,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/database/ProfiledConnection.java,1625
atomic_bool,wait for reload,V P N,1,1,1,for,P,cloned_repositories/ovs.git/lib/dpif-netdev-private-thread.h,1633
ovs_be16,src as,N P,1,2,1,as,P,cloned_repositories/ovs.git/lib/netflow.h,1639
int,tun metadata from geneve udpif,PRE PRE P NM N,2,1,4,from,P,cloned_repositories/ovs.git/lib/tun-metadata.c,1646
ovs_list,change set for tables,NM N P NPL,2,1,1,for,P,cloned_repositories/ovs.git/ovsdb/monitor.c,1648
DCArrayParameter*,as array parameter,P NM N,0,0,4,as,P,cloned_repositories/panda3d.git/direct/src/dcparser/dcArrayParameter.cxx,1649
DCField*,as field,P N,0,0,4,as,P,cloned_repositories/panda3d.git/direct/src/dcparser/dcField.cxx,1650
DCMolecularField*,as molecular field,P NM N,0,0,4,as,P,cloned_repositories/panda3d.git/direct/src/dcparser/dcField.cxx,1651
DCSimpleParameter*,as simple parameter,P NM N,0,0,4,as,P,cloned_repositories/panda3d.git/direct/src/dcparser/dcParameter.cxx,1652
void*,as pointer,P N,0,0,4,as,P,cloned_repositories/panda3d.git/dtool/src/cppparser/cppExpression.cxx,1653
BoundingBox*,as bounding box,P NM N,0,0,4,as,P,cloned_repositories/panda3d.git/panda/src/mathutil/boundingVolume.cxx,1661
double,as of,P P,0,0,5,as,P,cloned_repositories/panda3d.git/panda/src/pstatclient/pStatCollector.h,1663
double,as of,P P,1,2,5,of,P,cloned_repositories/panda3d.git/panda/src/pstatclient/pStatCollector.h,1663
int,before major,P N,0,0,1,before,P,cloned_repositories/panda3d.git/panda/src/putil/bamWriter.cxx,1664
int,before minor,P N,0,0,1,before,P,cloned_repositories/panda3d.git/panda/src/putil/bamWriter.cxx,1665
void*,scan for sliders,V P NPL,1,1,4,for,P,cloned_repositories/panda3d.git/pandatool/src/eggcharbase/eggCharacterCollection.cxx,1667
int,num as cnt,N P N,1,1,1,as,P,cloned_repositories/rigraph.git/src/vendor/cigraph/vendor/glpk/misc/relax4.h,1671
int,as within,P P,0,0,1,as,P,cloned_repositories/rigraph.git/src/vendor/cigraph/vendor/glpk/mpl/mpl.h,1672
int,as within,P P,1,2,1,within,P,cloned_repositories/rigraph.git/src/vendor/cigraph/vendor/glpk/mpl/mpl.h,1672
int,as binary,P N,0,0,1,as,P,cloned_repositories/rigraph.git/src/vendor/cigraph/vendor/glpk/mpl/mpl.h,1673
String,path Name for Logs,NM N P NPL,2,1,5,for,P,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/data/CuratorAsyncManager.java,1674
AfterXStanzas,after X Stanzas,P D NPL,0,0,1,after,P,cloned_repositories/Smack.git/smack-streammanagement/src/main/java/org/jivesoftware/smack/sm/predicates/ForMatchingPredicateOrAfterXStanzas.java,1680
void,after Filters Closed,P NPL V,0,0,4,after,P,cloned_repositories/Smack.git/smack-tcp/src/main/java/org/jivesoftware/smack/tcp/XmppTcpTransportModule.java,1681
DrillConfig,for Client,P N,0,0,4,for,P,drill.git/common/src/main/java/org/apache/drill/common/config/DrillConfig.java,1682
Set,for Resource,P N,0,0,4,for,P,drill.git/common/src/main/java/org/apache/drill/common/scanner/ClassPathScanner.java,1683
TypeDescriptor,for Class,P N,0,0,4,for,P,drill.git/common/src/main/java/org/apache/drill/common/scanner/persistence/TypeDescriptor.java,1684
TypeDescriptor,for Primitive,P N,0,0,4,for,P,drill.git/common/src/main/java/org/apache/drill/common/scanner/persistence/TypeDescriptor.java,1685
DruidFilter,and Filter At Index,NM N P N,2,1,4,At,P,drill.git/contrib/storage-druid/src/main/java/org/apache/drill/exec/store/druid/common/DruidUtils.java,1686
DruidFilter,or Filter At Index,NM N P N,2,1,4,At,P,drill.git/contrib/storage-druid/src/main/java/org/apache/drill/exec/store/druid/common/DruidUtils.java,1687
MapWriter,as Map,P N,0,0,4,as,P,drill.git/exec/vector/src/main/codegen/templates/UnionWriter.java,1688
boolean,after First Batch,P NM N,0,0,1,after,P,drill.git/exec/jdbc/src/main/java/org/apache/drill/jdbc/impl/DrillCursor.java,1689
boolean,after Last Row,P NM N,0,0,1,after,P,drill.git/exec/jdbc/src/main/java/org/apache/drill/jdbc/impl/DrillCursor.java,1690
long,before,P,0,0,3,before,P,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/aggregate/HashAggTemplate.java,1693
long,after,P,0,0,3,after,P,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/aggregate/HashAggTemplate.java,1694
ByteBuf,as Read Only,P NM VM,0,0,4,as,P,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/record/DeadBuf.java,1695
int,for Each Byte,P DT N,0,0,4,for,P,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/record/DeadBuf.java,1696
int,for Each Byte Desc,P DT NM N,0,0,4,for,P,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/record/DeadBuf.java,1697
boolean,before First,P NM,0,0,1,before,P,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/store/sys/MemoryIterator.java,1698
NativeLong,til or since,P CJ P,0,0,1,til,P,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/sparkimpl/plugin/idle/linux/LinuxIdleTime.java,1702
NativeLong,til or since,P CJ P,2,2,1,since,P,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/sparkimpl/plugin/idle/linux/LinuxIdleTime.java,1702
String,show String for Add,V N P V,2,1,3,for,P,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/sparkimpl/plugin/privacy/ui/PrivacyListTree.java,1703
int,waiting for dht connection,V P NM N,1,1,3,for,P,cloned_repositories/toxcore.git/other/bootstrap_daemon/src/tox-bootstrapd.c,1710
uint8_t,num as nonce,N P N,1,1,3,as,P,cloned_repositories/toxcore.git/toxcore/crypto_core.c,1711
int,length screen before cursor,N NM P N,2,1,3,before,P,cloned_repositories/weechat.git/src/gui/curses/gui-curses-bar-window.c,1716
int,length screen after cursor,N NM P N,2,1,3,after,P,cloned_repositories/weechat.git/src/gui/curses/gui-curses-bar-window.c,1717
t_gui_buffer*,gui buffer search by number or name,PRE PRE V P N CJ N,3,1,4,by,P,cloned_repositories/weechat.git/src/gui/gui-buffer.c,1718
char,plugin name for upgrade,NM N P N,2,1,1,for,P,cloned_repositories/weechat.git/src/gui/gui-buffer.h,1719
int,time for each line,N P DT N,1,1,1,for,P,cloned_repositories/weechat.git/src/gui/gui-buffer.h,1720
char*,irc nick get color for nick list,PRE PRE V N P NM N,4,1,4,for,P,cloned_repositories/weechat.git/src/plugins/irc/irc-nick.c,1723
char*,irc nick color for msg,PRE PRE N P N,3,1,4,for,P,cloned_repositories/weechat.git/src/plugins/irc/irc-nick.c,1724
char,message after mod,N P N,1,1,1,after,P,cloned_repositories/weechat.git/src/plugins/irc/irc-server.h,1725
gboolean,after release,P N,0,0,1,after,P,cloned_repositories/wireshark.git/plugins/epan/mate/mate.h,1733
bool,this ok,DT NM,0,0,3,this,DT,cloned_repositories/freeminer.git/src/client/content_cao.cpp,1369
ForWhat,m for What,PRE P DT,2,2,1,What,DT,cloned_repositories/freeminer.git/lib/catch2/catch.hpp,1568
boolean,b Is Playing,PRE V V,0,0,1,b,PRE,{'mockito.srcml.xml_identifiers'},13
bool,b Loop,PRE N,0,0,1,b,PRE,{'corenlp.srcml.xml_identifiers'},14
GLboolean,EGLEW ANDROID frame buffer target,PRE PRE NM NM N,0,0,1,EGLEW,PRE,{'junit4.srcml.xml_identifiers'},59
GLboolean,EGLEW ANDROID frame buffer target,PRE PRE NM NM N,1,1,1,ANDROID,PRE,{'junit4.srcml.xml_identifiers'},59
PFNCREATEPLATFORMWINDOWSURFACE,eglew Create Platform Window Surface,PRE V NM NM N,0,0,1,eglew,PRE,{'openFrameworks.srcml.xml_identifiers'},60
GLboolean,EGLEW KHR stream fifo,PRE PRE NM N,0,0,1,EGLEW,PRE,{'calligra.srcml.xml_identifiers'},61
GLboolean,EGLEW KHR stream fifo,PRE PRE NM N,1,1,1,KHR,PRE,{'calligra.srcml.xml_identifiers'},61
int,f Context Length,PRE NM N,0,0,1,f,PRE,{'ogre.srcml.xml_identifiers'},68
Matcher,f Matcher,PRE N,0,0,1,f,PRE,{'QuantLib.srcml.xml_identifiers'},69
PFNGLINDEXMASKPROC,glew Index Mask,PRE NM N,0,0,1,glew,PRE,{'QuantLib.srcml.xml_identifiers'},81
PFNGLRENDERMODEPROC,glew Render Mode,PRE NM N,0,0,1,glew,PRE,{'jenkins.srcml.xml_identifiers'},82
PFNGLVALIDATEPROGRAMPIPELINEPROC,glew Validate Program Pipeline,PRE V NM N,0,0,1,glew,PRE,{'QuantLib.srcml.xml_identifiers'},83
VcsAnnotation,m annotation,PRE N,0,0,1,m,PRE,{'QuantLib.srcml.xml_identifiers'},120
b3Scalar,m contact Motion 1,PRE NM N D,0,0,1,m,PRE,{'okhttp.srcml.xml_identifiers'},121
