TYPE	SPLIT	CONTEXT	GRAMMAR_PATTERN	LANGUAGE	SYSTEM_NAME	GITHUB_URL
BatchHolder	last Entry Batch	PARAMETER	DT NM N	Java	drill	https://github.com/apache/drill
DWORD	last err	PARAMETER	DT N	C	ovs	https://github.com/openvswitch/ovs
SQLException	last Exception	DECLARATION	DT N	Java	Openfire	https://github.com/igniterealtime/Openfire
QualType	last Expr Ty	DECLARATION	DT NM N	C++	cling	https://github.com/root-project/cling
AtomicLong	last Heartbeat Time	PARAMETER	DT NM N	Java	Singularity	https://github.com/sylabs/singularity
uint64_t	last id	DECLARATION	DT N	C++	meta	https://github.com/meta-toolkit/meta
int	last Idx	ATTRIBUTE	DT N	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
size_t	last in target	DECLARATION	DT P N	C	git2r	https://github.com/ropensci/git2r
int	last Index Of Dot	DECLARATION	DT N P N	Java	immutables	https://github.com/immutables/immutables
K	last Key	FUNCTION	DT N	Java	guava	https://github.com/google/guava
int	last layer index	ATTRIBUTE	DT NM N	C++	caffe	https://github.com/BVLC/caffe
label_id	last lbl	DECLARATION	DT N	C++	meta	https://github.com/meta-toolkit/meta
INDArray	last Mem Cell	ATTRIBUTE	DT NM N	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
HashMap	last Message	ATTRIBUTE	DT N	Java	Spark	https://github.com/apache/spark
Date	last Message Date	PARAMETER	DT NM N	Java	Smack	https://github.com/igniterealtime/Smack
Mode	last Mode	ATTRIBUTE	DT N	C++	freeminer	https://github.com/freeminer/freeminer
guint	last n	ATTRIBUTE	DT N	C	wireshark	https://github.com/wireshark/wireshark
bool	last part	PARAMETER	DT N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
long	last Pending Task Cache	ATTRIBUTE	DT NM NM N	Java	Singularity	https://github.com/sylabs/singularity
u16	last percent	ATTRIBUTE	DT N	C++	freeminer	https://github.com/freeminer/freeminer
AtomicLong	last Persister Success	PARAMETER	DT NM N	Java	Singularity	https://github.com/sylabs/singularity
int	last pos	PARAMETER	DT N	C	toggldesktop	https://github.com/toggl-open-source/toggldesktop
ScanRange	last Range	DECLARATION	DT N	Java	drill	https://github.com/apache/drill
RelNode	last Rel Node	DECLARATION	DT NM N	Java	drill	https://github.com/apache/drill
long	last Request Utilization Cache	ATTRIBUTE	DT NM NM N	Java	Singularity	https://github.com/sylabs/singularity
IterOutcome	last Right Status	DECLARATION	DT NM N	Java	drill	https://github.com/apache/drill
int	last Row	ATTRIBUTE	DT N	Java	drill	https://github.com/apache/drill
t_plugin_script	last script	ATTRIBUTE	DT N	C	weechat	https://github.com/weechat/weechat
int	last Segment Index	DECLARATION	DT NM N	Java	drill	https://github.com/apache/drill
int	last Set	DECLARATION	DT N	Java	drill	https://github.com/apache/drill
int	last Slash Index	DECLARATION	DT NM N	Java	drill	https://github.com/apache/drill
StreamID	last Stream	PARAMETER	DT N	C++	proxygen	https://github.com/facebook/proxygen
auto	last Stream Id Size	DECLARATION	DT NM NM N	C++	proxygen	https://github.com/facebook/proxygen
Optional	last Task Status	ATTRIBUTE	DT NM N	Java	Singularity	https://github.com/sylabs/singularity
uint64_t	last term	ATTRIBUTE	DT N	C	ovs	https://github.com/openvswitch/ovs
u64	last time	ATTRIBUTE	DT N	C++	freeminer	https://github.com/freeminer/freeminer
char	last Transition	ATTRIBUTE	DT N	Java	drill	https://github.com/apache/drill
long	last Update Time	ATTRIBUTE	DT NM N	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
SingularityTaskUsage	last Usage	DECLARATION	DT N	Java	Singularity	https://github.com/sylabs/singularity
long	last used	ATTRIBUTE	DT V	C	ovs	https://github.com/openvswitch/ovs
int	last used Ypos	ATTRIBUTE	DT V N	Java	Spark	https://github.com/apache/spark
boolean	last Value	PARAMETER	DT N	Java	immutables	https://github.com/immutables/immutables
rusage	last wakeup	PARAMETER	DT V	C	ovs	https://github.com/openvswitch/ovs
wint_t	last wc	PARAMETER	DT N	C	git2r	https://github.com/ropensci/git2r
JVar	last Writer Idx	ATTRIBUTE	DT NM N	Java	drill	https://github.com/apache/drill
int	last Y	ATTRIBUTE	DT N	C	mgba	https://github.com/mgba-emu/mgba
Intratype	left Intra type	DECLARATION	NM NM N	Java	immutables	https://github.com/immutables/immutables
uint32_t	left to parse	DECLARATION	V P V	C++	proxygen	https://github.com/facebook/proxygen
size_t	len a	PARAMETER	NM N	C	freeminer	https://github.com/freeminer/freeminer
String	less Terminal Path	ATTRIBUTE	NM NM N	Java	Singularity	https://github.com/sylabs/singularity
LikeFilter	like Filter	PARAMETER	NM N	C++	drill	https://github.com/apache/drill
RunQuery	limit 0 Query	DECLARATION	N D N	Java	drill	https://github.com/apache/drill
int	lines after	ATTRIBUTE	NPL P	C	weechat	https://github.com/weechat/weechat
size_t	lines in hunk	DECLARATION	NPL P N	C	git2r	https://github.com/ropensci/git2r
int	lines per option	DECLARATION	NPL P N	C	weechat	https://github.com/weechat/weechat
long	lk 1	DECLARATION	N D	Java	drill	https://github.com/apache/drill
int	load from lib dir	PARAMETER	V P NM N	C	weechat	https://github.com/weechat/weechat
git_str	local path out	PARAMETER	NM NM N	C	git2r	https://github.com/ropensci/git2r
string	log on wait	PARAMETER	V P V	C++	caffe	https://github.com/BVLC/caffe
LPoint3	look at	ATTRIBUTE	V P	C++	panda3d	https://github.com/panda3d/panda3d
double	m 11	ATTRIBUTE	N D	C++	freeminer	https://github.com/freeminer/freeminer
double	m 13	ATTRIBUTE	N D	C++	freeminer	https://github.com/freeminer/freeminer
double	m 21	ATTRIBUTE	N D	C++	freeminer	https://github.com/freeminer/freeminer
double	m 22	ATTRIBUTE	N D	C++	freeminer	https://github.com/freeminer/freeminer
double	m 23	ATTRIBUTE	N D	C++	freeminer	https://github.com/freeminer/freeminer
double	m 31	ATTRIBUTE	N D	C++	freeminer	https://github.com/freeminer/freeminer
double	m 33	ATTRIBUTE	N D	C++	freeminer	https://github.com/freeminer/freeminer
bool	m all Tables Selectable	ATTRIBUTE	PRE DT NPL NM	C++	drill	https://github.com/apache/drill
QString	m endpoint a	ATTRIBUTE	PRE NM N	C++	wireshark	https://github.com/wireshark/wireshark
ForWhat	m for What	ATTRIBUTE	PRE P DT	C++	freeminer	https://github.com/freeminer/freeminer
double	m in Nanoseconds	ATTRIBUTE	PRE P NPL	C++	freeminer	https://github.com/freeminer/freeminer
AssertionInfo	m last Assertion Info	ATTRIBUTE	PRE DT NM N	C++	freeminer	https://github.com/freeminer/freeminer
bool	m last Assertion Passed	ATTRIBUTE	PRE DT N V	C++	freeminer	https://github.com/freeminer/freeminer
size_t	m last Connection	ATTRIBUTE	PRE DT N	C++	drill	https://github.com/apache/drill
string	m last Query	ATTRIBUTE	PRE DT N	C++	drill	https://github.com/apache/drill
Option	m last Result	ATTRIBUTE	PRE DT N	C++	freeminer	https://github.com/freeminer/freeminer
u16	m last used id	ATTRIBUTE	PRE DT NM N	C++	freeminer	https://github.com/freeminer/freeminer
bool	m like Escape Clause Supported	ATTRIBUTE	PRE NM NM N V	C++	drill	https://github.com/apache/drill
map	m name to id	ATTRIBUTE	PRE N P N	C++	freeminer	https://github.com/freeminer/freeminer
CachedVertexShaderSetting	m perspective bias1 vertex	ATTRIBUTE	PRE NM NM N	C++	freeminer	https://github.com/freeminer/freeminer
void	m PSP 2 Load ROM	FUNCTION	PRE N D V N	C	mgba	https://github.com/mgba-emu/mgba
string	m redirected Cout	ATTRIBUTE	PRE V N	C++	freeminer	https://github.com/freeminer/freeminer
int	m sbox 4	ATTRIBUTE	PRE N D	Java	Openfire	https://github.com/igniterealtime/Openfire
T	m to	ATTRIBUTE	PRE P	C++	toggldesktop	https://github.com/toggl-open-source/toggldesktop
Vector	m to copy	ATTRIBUTE	PRE P N	Java	freeminer	https://github.com/freeminer/freeminer
bool	m used up	ATTRIBUTE	PRE V VM	C++	freeminer	https://github.com/freeminer/freeminer
string	m what	ATTRIBUTE	PRE DT	C++	toggldesktop	https://github.com/toggl-open-source/toggldesktop
String	MAIL FORWARD 16 x 16	ATTRIBUTE	V N D P D	Java	Spark	https://github.com/apache/spark
int	max v 4 frag list size	ATTRIBUTE	NM N D NM NM N	C	ovs	https://github.com/openvswitch/ovs
int	md5 out len	DECLARATION	NM NM N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
int*	merge driver name for path	FUNCTION	V NM N P N	C	git2r	https://github.com/ropensci/git2r
auto	merged 1	ATTRIBUTE	N D	C++	deeplearning4j	https://github.com/eclipse/deeplearning4j
auto	merged 3	ATTRIBUTE	N D	C++	deeplearning4j	https://github.com/eclipse/deeplearning4j
char	message after mod	ATTRIBUTE	N P N	C	weechat	https://github.com/weechat/weechat
char	message before mod	ATTRIBUTE	V P N	C	weechat	https://github.com/weechat/weechat
char	message no color	DECLARATION	N DT N	C	weechat	https://github.com/weechat/weechat
float	mid 1	DECLARATION	N D	C++	freeminer	https://github.com/freeminer/freeminer
LogicalMinus	minus	PARAMETER	P	Java	drill	https://github.com/apache/drill
ccv_cnnp_dataframe_data_item_t	more data	DECLARATION	DT N	C	ccv	https://github.com/liuliu/ccv
ClosingFuture	more Futures	PARAMETER	DT NPL	Java	guava	https://github.com/google/guava
Gs	more Generators	PARAMETER	DT NPL	C++	freeminer	https://github.com/freeminer/freeminer
u8	more To Follow	PARAMETER	DT P V	C	ccv	https://github.com/liuliu/ccv
int	morecore properties	ATTRIBUTE	PRE NPL	C++	panda3d	https://github.com/panda3d/panda3d
long	murmur 3 64	FUNCTION	N D D	Java	drill	https://github.com/apache/drill
class	Murmur Hash 3	CLASS	NM N D	Java	drill	https://github.com/apache/drill
class	Murmur3 128 Hash Function	CLASS	PRE D NM N	Java	guava	https://github.com/google/guava
MapNode	n 3	DECLARATION	N D	C++	freeminer	https://github.com/freeminer/freeminer
Int	n col 2	PARAMETER	NM N D	C	rigraph	https://github.com/igraph/rigraph
MapNode	n dirt with grass	DECLARATION	PRE N P N	C++	freeminer	https://github.com/freeminer/freeminer
uint64_t	n frag too small	ATTRIBUTE	NM N VM NM	C	ovs	https://github.com/openvswitch/ovs
MapNode	n from	PARAMETER	N P	C++	freeminer	https://github.com/freeminer/freeminer
MapNode	n water or ice	DECLARATION	N N CJ N	C++	freeminer	https://github.com/freeminer/freeminer
string	name 1	PARAMETER	N D	C++	meta	https://github.com/meta-toolkit/meta
char	name what	ATTRIBUTE	N DT	C	freeminer	https://github.com/freeminer/freeminer
void	Net after forward	FUNCTION	PRE P N	C++	caffe	https://github.com/BVLC/caffe
void	Net before backward	FUNCTION	PRE P N	C++	caffe	https://github.com/BVLC/caffe
void	Net before forward	FUNCTION	PRE P N	C++	caffe	https://github.com/BVLC/caffe
int	new Param 1	ATTRIBUTE	NM N D	C++	freeminer	https://github.com/freeminer/freeminer
int	new Param 2	ATTRIBUTE	NM N D	C++	freeminer	https://github.com/freeminer/freeminer
int	new Shape 2	DECLARATION	NM N D	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
BatchInfo	next	ATTRIBUTE	DT	C++	toggldesktop	https://github.com/toggl-open-source/toggldesktop
t_gui_bar	next bar	ATTRIBUTE	DT N	C	weechat	https://github.com/weechat/weechat
float	next Cast Cost	DECLARATION	DT NM N	Java	drill	https://github.com/apache/drill
char	next Char	DECLARATION	DT N	Java	drill	https://github.com/apache/drill
t_config_file	next config	ATTRIBUTE	DT N	C	weechat	https://github.com/weechat/weechat
xodtemplate_daterange	next date range	DECLARATION	DT NM N	C	naemon-core	https://github.com/naemon/naemon-core
double	next Double	FUNCTION	DT N	Java	immutables	https://github.com/immutables/immutables
void	next Egress	FUNCTION	DT N	C++	proxygen	https://github.com/facebook/proxygen
Group	next Element	ATTRIBUTE	DT N	Java	Openfire	https://github.com/igniterealtime/Openfire
int32_t	next event	ATTRIBUTE	DT N	C	mgba	https://github.com/mgba-emu/mgba
String	next Field	ATTRIBUTE	DT N	Java	drill	https://github.com/apache/drill
String	next Field Name	FUNCTION	DT NM N	Java	immutables	https://github.com/immutables/immutables
NextFilter	Next Filter	PARAMETER	DT N	Java	Openfire	https://github.com/igniterealtime/Openfire
ClassNames	next Generated	DECLARATION	DT V	Java	drill	https://github.com/apache/drill
t_gui_nick_group	next group	ATTRIBUTE	DT N	C	weechat	https://github.com/weechat/weechat
xodtemplate_hostescalation	next he	DECLARATION	DT N	C	naemon-core	https://github.com/naemon/naemon-core
int	next head	FUNCTION	DT N	C	git2r	https://github.com/ropensci/git2r
int	next Id	ATTRIBUTE	DT N	Java	drill	https://github.com/apache/drill
ImmutableEntry	next In Bucket	FUNCTION	DT P N	Java	guava	https://github.com/google/guava
TaskStatus	next In Memory	FUNCTION	DT P N	Java	Singularity	https://github.com/sylabs/singularity
Object	next Instance	FUNCTION	DT N	Java	cglib	https://github.com/cglib/cglib
char	next Key	DECLARATION	DT N	C++	cling	https://github.com/root-project/cling
Object	next Label	DECLARATION	DT N	Java	guava	https://github.com/google/guava
int	next Local	ATTRIBUTE	DT N	Java	cglib	https://github.com/cglib/cglib
string	next marker	DECLARATION	DT N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
int	next max	ATTRIBUTE	DT N	C	ovs	https://github.com/openvswitch/ovs
vector	next metadata	FUNCTION	DT N	C++	meta	https://github.com/meta-toolkit/meta
List	next Names	DECLARATION	DT NPL	Java	drill	https://github.com/apache/drill
Cell	next nonsingleton	ATTRIBUTE	DT N	C++	rigraph	https://github.com/igraph/rigraph
objectlist	next object list	DECLARATION	DT NM N	C	naemon-core	https://github.com/naemon/naemon-core
gint	next offset	DECLARATION	DT N	C	wireshark	https://github.com/wireshark/wireshark
ReadStatus	next Page From Queue	FUNCTION	DT N P N	Java	drill	https://github.com/apache/drill
Object	next Page Value	DECLARATION	DT NM N	Java	drill	https://github.com/apache/drill
int	next Partition To Return	ATTRIBUTE	DT N P N	Java	drill	https://github.com/apache/drill
uint32_t	next PC	DECLARATION	DT N	C++	facebook-repo-ds2	https://github.com/facebookresearch/ds2
ClassNames	next Precompiled	DECLARATION	DT NM	Java	drill	https://github.com/apache/drill
Token*	next Preprocessed	FUNCTION	DT V	C++	toggldesktop	https://github.com/toggl-open-source/toggldesktop
string	next Protocol	PARAMETER	DT N	C++	proxygen	https://github.com/facebook/proxygen
string	next Protos	PARAMETER	DT NPL	C++	proxygen	https://github.com/facebook/proxygen
query_handler	next qh	ATTRIBUTE	DT N	C	naemon-core	https://github.com/naemon/naemon-core
u8	next real face	DECLARATION	DT NM N	C++	freeminer	https://github.com/freeminer/freeminer
Pair	next Row Key Batch	FUNCTION	DT NM NM N	Java	drill	https://github.com/apache/drill
xodtemplate_serviceextinfo	next se	DECLARATION	DT N	C	naemon-core	https://github.com/naemon/naemon-core
servicesmember	next services member	DECLARATION	DT NM N	C	naemon-core	https://github.com/naemon/naemon-core
ClassSet	next Set	DECLARATION	DT N	Java	drill	https://github.com/apache/drill
Node*	next Sibling	FUNCTION	DT N	C++	toggldesktop	https://github.com/toggl-open-source/toggldesktop
FileSplit	next Split	FUNCTION	DT N	Java	drill	https://github.com/apache/drill
long	next tag	DECLARATION	DT N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
Runnable	next Task	ATTRIBUTE	DT N	Java	guava	https://github.com/google/guava
int	next tex	ATTRIBUTE	DT N	C++	panda3d	https://github.com/panda3d/panda3d
char	next Tok Ptr	PARAMETER	DT NM N	C	toggldesktop	https://github.com/toggl-open-source/toggldesktop
ASN1_GENERALIZEDTIME	next upd	PARAMETER	DT N	C	toggldesktop	https://github.com/toggl-open-source/toggldesktop
int32_t	next update	ATTRIBUTE	DT N	C	mgba	https://github.com/mgba-emu/mgba
long	next Update Time	ATTRIBUTE	DT NM N	Java	drill	https://github.com/apache/drill
long	next Value	ATTRIBUTE	DT N	Java	metrics	https://github.com/dropwizard/metrics
ImmutableList	no Attributes	ATTRIBUTE	DT NPL	Java	immutables	https://github.com/immutables/immutables
bool	no cache	PARAMETER	DT N	C	freeminer	https://github.com/freeminer/freeminer
int	no callback	DECLARATION	DT N	C	git2r	https://github.com/ropensci/git2r
fdpage_list_t	no data pages	DECLARATION	DT NM NPL	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
no_delay	no Delay	DECLARATION	DT N	C++	drill	https://github.com/apache/drill
float	no dig delay timer	ATTRIBUTE	DT N NM N	C++	freeminer	https://github.com/freeminer/freeminer
bool	no emerge	PARAMETER	DT V	C++	freeminer	https://github.com/freeminer/freeminer
bool	no Error	FUNCTION	DT N	C++	proxygen	https://github.com/facebook/proxygen
boolean	no Interfaces	ATTRIBUTE	DT NPL	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
char	no log	DECLARATION	DT N	C	weechat	https://github.com/weechat/weechat
bool	no logo	PARAMETER	DT N	C	cling	https://github.com/root-project/cling
igraph_integer_t	no of edges 2	DECLARATION	N P NPL D	C	rigraph	https://github.com/igraph/rigraph
int	no of groups	PARAMETER	N P NPL	C	rigraph	https://github.com/igraph/rigraph
int	no of nodes	DECLARATION	N P NPL	C	rigraph	https://github.com/igraph/rigraph
bool	no output	ATTRIBUTE	DT N	C++	freeminer	https://github.com/freeminer/freeminer
bool	no random	PARAMETER	DT N	C++	freeminer	https://github.com/freeminer/freeminer
uint64_t	no replay	DECLARATION	DT N	C	toxcore	https://github.com/TokTok/c-toxcore
boolean	no Reply	PARAMETER	DT N	Java	Smack	https://github.com/igniterealtime/Smack
bool	no Runtime	PARAMETER	DT N	C++	cling	https://github.com/root-project/cling
SourceLocation	no Src Loc	DECLARATION	DT NM N	C++	cling	https://github.com/root-project/cling
int	no text	PARAMETER	DT N	C	toggldesktop	https://github.com/toggl-open-source/toggldesktop
bool	no truncate	PARAMETER	DT V	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
Writable	no Val	ATTRIBUTE	DT N	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
PandaNode	node 2	PARAMETER	N D	C++	panda3d	https://github.com/panda3d/panda3d
float	noise 2	PARAMETER	N D	C++	freeminer	https://github.com/freeminer/freeminer
auto	none	DECLARATION	DT	C++	meta	https://github.com/meta-toolkit/meta
void	normalize by rebuilding	FUNCTION	V P V	C++	panda3d	https://github.com/panda3d/panda3d
guint16	noti flags number	PARAMETER	NM NM N	C	wireshark	https://github.com/wireshark/wireshark
int	notified on	ATTRIBUTE	V P	C	naemon-core	https://github.com/naemon/naemon-core
int	notify contact of host	FUNCTION	V N P N	C	naemon-core	https://github.com/naemon/naemon-core
Instant	now	DECLARATION	VM	Java	Openfire	https://github.com/igniterealtime/Openfire
string	now cache	DECLARATION	VM V	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
long	now Micros	PARAMETER	VM NPL	Java	guava	https://github.com/google/guava
string	now path	DECLARATION	VM N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
time_t	now time	DECLARATION	VM N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
TextureCollection*	ns find all textures	FUNCTION	PRE V DT NPL	C++	panda3d	https://github.com/panda3d/panda3d
bool	null or empty	FUNCTION	NM CJ NM	C++	deeplearning4j	https://github.com/eclipse/deeplearning4j
int	num ascnt	ATTRIBUTE	NM N	C	rigraph	https://github.com/igraph/rigraph
Blob	num by chans	ATTRIBUTE	N P NPL	C++	caffe	https://github.com/BVLC/caffe
int	num faces to draw	DECLARATION	NM NPL P V	C++	freeminer	https://github.com/freeminer/freeminer
int	num kernels im 2 col	ATTRIBUTE	NM NPL N P N	C++	caffe	https://github.com/BVLC/caffe
size_t	num to check	DECLARATION	N P V	C	mgba	https://github.com/mgba-emu/mgba
int	num vertices per primitive	DECLARATION	NM NPL P N	C++	panda3d	https://github.com/panda3d/panda3d
long	number of nodes	DECLARATION	N P NPL	C++	rigraph	https://github.com/igraph/rigraph
NumericType	numeric type 3	PARAMETER	NM N D	C++	panda3d	https://github.com/panda3d/panda3d
MultiUserChatService	o 2	PARAMETER	N D	Java	Openfire	https://github.com/igniterealtime/Openfire
LongType	o Stride 0	DECLARATION	NM N D	C++	deeplearning4j	https://github.com/eclipse/deeplearning4j
btCollisionObject	obj 0	DECLARATION	N D	C++	panda3d	https://github.com/panda3d/panda3d
int	obsess over host	PARAMETER	V P N	C	naemon-core	https://github.com/naemon/naemon-core
odp_key_fitness*	odp nsh key from attr	FUNCTION	PRE PRE N P N	C	ovs	https://github.com/openvswitch/ovs
float	odx 1	DECLARATION	N D	C	rigraph	https://github.com/igraph/rigraph
class	OF 1515	CLASS	N D	Java	Openfire	https://github.com/igniterealtime/Openfire
ofbundle	of bundle	PARAMETER	PRE N	C	ovs	https://github.com/openvswitch/ovs
off_t	off	PARAMETER	N	C	meta	https://github.com/meta-toolkit/meta
auto	off Arg	DECLARATION	NM N	C++	facebook-repo-ds2	https://github.com/facebookresearch/ds2
long	off Bits	PARAMETER	NM NPL	C++	panda3d	https://github.com/panda3d/panda3d
ImageIcon	off Icon	ATTRIBUTE	NM N	Java	Openfire	https://github.com/igniterealtime/Openfire
int	offset p	PARAMETER	NM N	C	wireshark	https://github.com/wireshark/wireshark
igraph_real_t	offset to left contour	ATTRIBUTE	V P NM N	C	rigraph	https://github.com/igraph/rigraph
igraph_real_t	offset to right contour	ATTRIBUTE	V P NM N	C	rigraph	https://github.com/igraph/rigraph
ofpbuf*	ofp buf clone with headroom	FUNCTION	PRE PRE N P N	C	ovs	https://github.com/openvswitch/ovs
git_oid	oid a	PARAMETER	NM N	C	git2r	https://github.com/ropensci/git2r
int	old Param 2	ATTRIBUTE	NM N D	C++	freeminer	https://github.com/freeminer/freeminer
ObjectName	on	DECLARATION	N	Java	metrics	https://github.com/dropwizard/metrics
void	on Connection Close	FUNCTION	P N V	Java	Openfire	https://github.com/igniterealtime/Openfire
int	on disk	ATTRIBUTE	P N	C	git2r	https://github.com/ropensci/git2r
void	on Egress Buffered	FUNCTION	P N V	C++	proxygen	https://github.com/facebook/proxygen
ErrorCode	on Execute Program	FUNCTION	P V N	C++	facebook-repo-ds2	https://github.com/facebookresearch/ds2
bp::object	on gradients ready	ATTRIBUTE	P NPL NM	C++	caffe	https://github.com/BVLC/caffe
size_t	on Header Bytes Generated	DECLARATION	P NM NPL V	C	proxygen	https://github.com/facebook/proxygen
ImageIcon	on Icon	ATTRIBUTE	NM N	Java	Openfire	https://github.com/igniterealtime/Openfire
void	on Metric Removed	FUNCTION	P N V	Java	metrics	https://github.com/dropwizard/metrics
ebb_header_cb	on multipart header field	ATTRIBUTE	P NM NM N	C	ccv	https://github.com/liuliu/ccv
void	on Ping Reply Latency	FUNCTION	P NM NM N	C++	proxygen	https://github.com/facebook/proxygen
void	on Post Execute	FUNCTION	P N V	Java	freeminer	https://github.com/freeminer/freeminer
ErrorCode	on Query Hardware Watchpoint Count	FUNCTION	P NM NM NM N	C++	facebook-repo-ds2	https://github.com/facebookresearch/ds2
ebb_element_cb	on query string	ATTRIBUTE	P NM N	C	ccv	https://github.com/liuliu/ccv
http_data_cb	on reason	ATTRIBUTE	P N	C	proxygen	https://github.com/facebook/proxygen
void*	on request response	FUNCTION	P NM N	C	ccv	https://github.com/liuliu/ccv
void	on Response Content	FUNCTION	P NM N	Java	metrics	https://github.com/dropwizard/metrics
void	on Server Egress Paused	FUNCTION	P NM N V	C++	proxygen	https://github.com/facebook/proxygen
bool	on Server Side	PARAMETER	P NM N	C++	toggldesktop	https://github.com/toggl-open-source/toggldesktop
void	on Shutdown Request	FUNCTION	P NM N	Java	drill	https://github.com/apache/drill
void	on start	FUNCTION	P N	C++	caffe	https://github.com/BVLC/caffe
object	on start	ATTRIBUTE	P N	C++	caffe	https://github.com/BVLC/caffe
http_data_cb	on status	ATTRIBUTE	P N	C	crow	https://github.com/CrowCpp/Crow
ErrorCode*	on Thread Is Alive	FUNCTION	P N V NM	C++	facebook-repo-ds2	https://github.com/facebookresearch/ds2
void	on Tick	FUNCTION	P N	Java	drill	https://github.com/apache/drill
ovsthread_once	once	DECLARATION	VM	C	ovs	https://github.com/openvswitch/ovs
bool	only amz	PARAMETER	VM N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
boolean	only Done	ATTRIBUTE	VM NM	Java	Smack	https://github.com/igniterealtime/Smack
Entry	only Entry	DECLARATION	VM N	Java	guava	https://github.com/google/guava
boolean	only Impersonation Enabled	ATTRIBUTE	VM N V	Java	drill	https://github.com/apache/drill
bool	only in ground	ATTRIBUTE	VM P N	C	freeminer	https://github.com/freeminer/freeminer
igraph_bool_t	only indices	PARAMETER	VM NPL	C	rigraph	https://github.com/igraph/rigraph
boolean	only Local	PARAMETER	VM N	Java	Openfire	https://github.com/igniterealtime/Openfire
bool	only pool	PARAMETER	VM N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
int	only user	ATTRIBUTE	VM N	C	toggldesktop	https://github.com/toggl-open-source/toggldesktop
char	open if empty	DECLARATION	V CJ NM	C	libxo	https://github.com/Juniper/libxo
int	opposite Major Fragment Id	ATTRIBUTE	NM NM NM N	Java	drill	https://github.com/apache/drill
u8	or conf	PARAMETER	NM N	C	ccv	https://github.com/liuliu/ccv
DruidFilter	or Filter At Index	FUNCTION	NM N P N	Java	drill	https://github.com/apache/drill
RexNode	or Pred	PARAMETER	NM N	Java	drill	https://github.com/apache/drill
igraph_vector_int_t	order out	PARAMETER	N NM	C	rigraph	https://github.com/igraph/rigraph
int	out audio samples	DECLARATION	NM NM NPL	C	toxcore	https://github.com/TokTok/c-toxcore
T	out Buff	DECLARATION	NM N	C++	deeplearning4j	https://github.com/eclipse/deeplearning4j
int	out Buff Posn	DECLARATION	NM NM N	Java	Openfire	https://github.com/igniterealtime/Openfire
ErrorCode	out Code	PARAMETER	NM N	C++	proxygen	https://github.com/facebook/proxygen
char	out dev	DECLARATION	NM N	C	ovs	https://github.com/openvswitch/ovs
ExAttributes	out Ex Attributes	PARAMETER	NM NM NPL	C++	proxygen	https://github.com/facebook/proxygen
RelFieldCollation	out Field Collation	DECLARATION	NM NM N	Java	drill	https://github.com/apache/drill
ofstream	out file	DECLARATION	NM N	C++	meta	https://github.com/meta-toolkit/meta
unique_ptr	out Header Data	DECLARATION	NM NM N	C++	proxygen	https://github.com/facebook/proxygen
void	out how	PARAMETER	VM VM	C	mgba	https://github.com/mgba-emu/mgba
TypedFieldId	out Key Field Ids	PARAMETER	NM NM NM NPL	Java	drill	https://github.com/apache/drill
uint32_t	out list	PARAMETER	NM N	C	toxcore	https://github.com/TokTok/c-toxcore
igraph_inclist_t	out list	DECLARATION	NM N	C	rigraph	https://github.com/igraph/rigraph
bool	out max val	ATTRIBUTE	V NM N	C++	caffe	https://github.com/BVLC/caffe
AtomicLong	out Messages	ATTRIBUTE	NM NPL	Java	Openfire	https://github.com/igniterealtime/Openfire
int	out Name Index	DECLARATION	NM NM N	Java	drill	https://github.com/apache/drill
void*	out of domain	FUNCTION	P P N	C	rigraph	https://github.com/igraph/rigraph
boolean	out Of Memory	PARAMETER	P P N	Java	drill	https://github.com/apache/drill
uint64_t	out Opaque Data	PARAMETER	NM NM N	C++	proxygen	https://github.com/facebook/proxygen
Prel	out Prel	DECLARATION	NM N	Java	drill	https://github.com/apache/drill
PushId	out Push Id	PARAMETER	NM NM N	C++	proxygen	https://github.com/facebook/proxygen
igraph_vector_t	out seq	PARAMETER	NM N	C	rigraph	https://github.com/igraph/rigraph
String	out Stat Name	PARAMETER	NM NM N	Java	drill	https://github.com/apache/drill
lm_state	out state	PARAMETER	NM N	C++	meta	https://github.com/meta-toolkit/meta
int	out Types Offset	DECLARATION	NM NM N	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
