TYPE,SPLIT,CONTEXT,GRAMMAR_PATTERN,LANGUAGE,SYSTEM_NAME
double,seed Value,PARAMETER,NM N,C,zeno
int,segment Offset,DECLARATION,NM N,C,bolt
int*,segments,DECLARATION,NPL,C,coda
void,select First Replica,FUNCTION,V DT N,Java,cloudkit
Int,selected Index,DECLARATION,NM N,swift,gridview
List,selected Rows,DECLARATION,NM NPL,Java,gridview
int,semaphore,DECLARATION,N,C,trak
int,semaphore Count,DECLARATION,NM N,C,kron
void,send Data To Remote Server,FUNCTION,V N P NM N,Java,nodelink
void,send Data To Server,FUNCTION,V N P N,Java,nodelink
void,send Event To Handler,FUNCTION,V N P N,Java,springcore
void,send Heartbeat,FUNCTION,V N,C,nexus
void,send Message,FUNCTION,V N,Java,springcore
void,send Packet To Peer,FUNCTION,V N P N,C,volt
void,send Response,FUNCTION,V N,Java,springcore
void,send To,FUNCTION,V P,Java,nodelink
void,send To Queue,FUNCTION,V P N,Java,netpulse
long,sender And Receiver,ATTRIBUTE,N CJ N,Java,netpulse
int,separator,PARAMETER,N,Java,beanworks
Integer,serial Number,ATTRIBUTE,NM N,Java,beanworks
void,serialize And Send,FUNCTION,V CJ V,Java,nodelink
List,serialize Fields,FUNCTION,V NPL,Java,beanworks
void,serialize Object,FUNCTION,V N,Java,beanworks
class,Serializer,CLASS,N,Java,dataforge
Integer,server And Port,DECLARATION,N CJ N,Java,nodelink
float,session Duration,DECLARATION,NM N,Java,cloudkit
int,session Id,ATTRIBUTE,NM N,Java,bytecraft
class,Session Manager,CLASS,NM N,Java,springcore
void,set Blend Factor,FUNCTION,V NM N,C++,prism
void,set Blend Mode,FUNCTION,V NM N,C,pixl
void,set Cache Policy,FUNCTION,V NM N,Java,cloudkit
void,set Cipher Key,FUNCTION,V NM N,C,zeno
void,set Compressed Block Size,FUNCTION,V NM NM N,C,coda
void,set Compression Level,FUNCTION,V NM N,C,coda
void,set Consumer Offset,FUNCTION,V NM N,Java,netpulse
void,set Cookie,FUNCTION,V N,Java,springcore
void,set Default Cipher Mode,FUNCTION,V NM NM N,C,zeno
void,set Default Font Name,FUNCTION,V NM NM N,Java,gridview
void,set Default Max Buffer Size,FUNCTION,V NM NM NM N,C++,neutron
void,set Default Timeout Duration,FUNCTION,V NM NM N,Java,cloudkit
void,set Default Value,FUNCTION,V NM N,Java,bytecraft
void,set Font Size,FUNCTION,V NM N,C++,vortex
void,set Gradient Color,FUNCTION,V NM N,C++,prism
void,set Initial Capacity Factor,FUNCTION,V NM NM N,Java,bytecraft
void,set Max Allowed Heap Capacity,FUNCTION,V NM NM NM N,C,aeon
void,set Max Retry Count,FUNCTION,V NM NM N,Java,nodelink
void,set Mode,FUNCTION,V N,C++,sigma
void,set Next Execution Time,FUNCTION,V DT NM N,Java,springcore
Map,set Of Keys,PARAMETER,N P N,Java,javelin
void,set Offset And Length,FUNCTION,V N CJ N,C,aeon
void,set Pixel Format,FUNCTION,V NM N,C,pixl
void,set Polling Rate,FUNCTION,V NM N,Java,netpulse
void,set Priority,FUNCTION,V N,C,kron
void,set Scroll Position,FUNCTION,V NM N,Java,gridview
void,set Thread Priority,FUNCTION,V NM N,C++,vortex
void,set Timer Resolution,FUNCTION,V NM N,C,grip
void,set Viewport Size,FUNCTION,V NM N,C++,prism
void,set Width And Height,FUNCTION,V N CJ N,C++,vortex
Integer,severity Code,ATTRIBUTE,NM N,Java,cloudkit
class,SHA 256,CLASS,N D,Java,rune
class,SHA Hash 512,CLASS,NM N D,C,zeno
class,Shader Program,CLASS,NM N,C++,apex
List,shaders,DECLARATION,NPL,C++,prism
int,shard Index,DECLARATION,NM N,Java,beanworks
List,shards,DECLARATION,NPL,Java,cloudkit
class,Shared Mutex Lock,CLASS,NM NM N,C++,vortex
class,Shared Resource Pool,CLASS,NM NM N,C++,oxide
boolean,should Compact,DECLARATION,V V,Java,beanworks
bool,should Continue,DECLARATION,V V,C++,apex
bool,should Evict,FUNCTION,V V,Java,cloudkit
boolean,should Refresh,DECLARATION,V V,Java,gridview
boolean,should Retry,FUNCTION,V V,Java,nodelink
boolean,should Retry Operation,FUNCTION,V V N,Java,cloudkit
bool,should Update Display,FUNCTION,V V N,Java,gridview
Map,shuffle Elements,FUNCTION,V NPL,Java,javelin
void,shutdown,FUNCTION,V,C,libvx
void,write To,FUNCTION,V P,Java,springcore
class,Signal Emitter,CLASS,NM N,C++,titan
void,signal Handler,FUNCTION,NM N,C,kron
int,signal Mask,DECLARATION,NM N,C,dusk
int,signal Number,PARAMETER,NM N,C,dusk
class,Simple Bounded Blocking Queue,CLASS,NM NM NM N,Java,dataforge
class,Simple Hash Map,CLASS,NM NM N,Java,bytecraft
class,Single Linked List,CLASS,NM NM N,C++,sigma
int,size,PARAMETER,N,C,libvx
boolean,skip If Disabled,FUNCTION,V CJ NM,Java,springcore
void,skip If Missing,FUNCTION,V CJ NM,Java,quill
bool,skip im 2 col,PARAMETER,V N P N,C++,neutron
int,slowly Initialized Resource,ATTRIBUTE,VM V N,Java,quill
void,snap To Grid,FUNCTION,V P N,C++,titan
void,snapshot Heap,FUNCTION,V N,C,aeon
long,snapshot Version,DECLARATION,NM N,Java,beanworks
Collection,snapshots,ATTRIBUTE,NPL,Java,cloudkit
int,socket,DECLARATION,N,C,volt
class,Socket Factory,CLASS,NM N,Java,nodelink
uint32_t,socket Port,PARAMETER,NM N,C,nexus
int,socket Timeout,ATTRIBUTE,NM N,Java,netpulse
int*,Sort Array,FUNCTION,V N,C,blitz
String,sort By Name,FUNCTION,V P N,Java,springcore
std::vector,sort Entries,FUNCTION,V NPL,C++,sigma
long,sort Order,PARAMETER,NM N,Java,dataforge
void,sort Recursively,FUNCTION,V VM,C++,sigma
bool,sorted Indices,DECLARATION,NM NPL,C++,sigma
class,Sorted Map,CLASS,NM N,Java,bytecraft
boolean,sorted Results,PARAMETER,NM NPL,Java,beanworks
bool,sorted Unique Keys,DECLARATION,NM NM NPL,C++,sigma
class,Sound Mixer,CLASS,NM N,C++,titan
uint32_t,source And Target,PARAMETER,N CJ N,C++,sigma
QString,source File Path,PARAMETER,NM NM N,C++,sigma
int,source Paths,PARAMETER,NM NPL,C++,apex
int,span Id,ATTRIBUTE,NM N,Java,cloudkit
void,spawn Entity,FUNCTION,V N,C++,apex
void,spawn Process,FUNCTION,V N,C,kron
uint32_t,spawn Rate,DECLARATION,NM N,C++,apex
void,split By Delimiter,FUNCTION,V P N,Java,bytecraft
int,src 2 dst,PARAMETER,N P N,C,pixl
class,Stack,CLASS,N,C++,corelib
void*,stack Of Frames,DECLARATION,N P NPL,C,trak
void*,stack Pointer,DECLARATION,NM N,C,trak
int,start And End,PARAMETER,N CJ N,C++,apex
uint32_t,start Offset,DECLARATION,NM N,C++,vortex
int,start Time,ATTRIBUTE,NM N,Java,cloudkit
void,starts With,FUNCTION,V P,Java,springcore
long,state,ATTRIBUTE,N,C++,sigma
QString,state And Mode,ATTRIBUTE,N CJ N,C++,northstar
class,State Machine,CLASS,NM N,C++,sigma
int,state Or Error,ATTRIBUTE,N CJ N,Java,pulseforge
class,Static Final Constant Value,CLASS,NM NM NM N,Java,bytecraft
class,Static Memory Pool,CLASS,NM NM N,C++,neutron
size_t,status,DECLARATION,N,C,forge
long,status Code,PARAMETER,NM N,Java,webstack
class,Status Indicator,CLASS,NM N,Java,webstack
int,status_attr,ATTRIBUTE,N,Java,nodelink
long,step 0,PARAMETER,N D,C++,quark
void*,str 2 bytes,FUNCTION,N P NPL,Java,bytecraft
double,str 2 double,FUNCTION,N P N,C++,quark
Map,str 2 enum,DECLARATION,N P N,Java,beanworks
float,str 2 float,FUNCTION,N P N,C,forge
int,str 2 int,FUNCTION,N P N,C,forge
class,Str 2 Int,CLASS,N P N,Java,bytecraft
long,str 2 long,FUNCTION,N P N,C,forge
class,Stream Processor,CLASS,NM N,Java,cloudkit
long,stride 4,ATTRIBUTE,N D,C++,apex
long,stride Length,PARAMETER,NM N,C++,prism
int,stroke Width,DECLARATION,NM N,C,moth
void,subscribe,FUNCTION,V,Java,netpulse
long,subscribe To Channel,FUNCTION,V P N,Java,nodelink
void,subscribe To Default Event Stream,FUNCTION,V P NM NM N,Java,cloudkit
long,subscribe To Event Channel,FUNCTION,V P NM N,Java,springcore
void,subscribe To Event Stream,FUNCTION,V P NM N,Java,cloudkit
void,subscribe To Topic,FUNCTION,V P N,Java,netpulse
Map,subscribers,ATTRIBUTE,NPL,Java,netpulse
long,success Or Failure,DECLARATION,N CJ N,Java,cloudkit
int,suffix,PARAMETER,N,Java,beanworks
void,suspend Fiber,FUNCTION,V N,C++,oxide
vector,symbol Table,DECLARATION,NM N,C++,corelib
void,synchronously Write Block,FUNCTION,VM V N,C,coda
vector,syntax Tree,DECLARATION,NM N,C++,corelib
char*,sz Default File Name,DECLARATION,PRE NM NM N,C,libvx
char*,sz File Name,DECLARATION,PRE NM N,C,libvx
long,t,PARAMETER,N,C,kron
class,Tab Controller,CLASS,NM N,swift,webstack
int,tab Order,ATTRIBUTE,NM N,Java,gridview
int,table 2 id,DECLARATION,N P N,Java,dataforge
String,table Name,PARAMETER,NM N,Java,dataforge
Set,table View,DECLARATION,NM N,swift,gridview
class,Table View Cell,CLASS,NM NM N,swift,gridview
float,tag Value,ATTRIBUTE,NM N,Java,webstack
uint32_t,target Frame Rate,PARAMETER,NM NM N,C++,prism
long,target Node,PARAMETER,NM N,C++,sigma
vector,target Nodes,PARAMETER,NM NPL,C++,sigma
char*,target Pixel Format,PARAMETER,NM NM N,C,pixl
class,Task Scheduler,CLASS,NM N,Java,cloudkit
long,tasks Per Thread,ATTRIBUTE,NPL P N,Java,cloudkit
size_t,tcp Socket,DECLARATION,NM N,C,nexus
void,tear Down,FUNCTION,V P,Java,springcore
int,tenant Id,DECLARATION,NM N,Java,cloudkit
class,Texture Atlas,CLASS,NM N,C++,apex
size_t,texture Handle,DECLARATION,NM N,C,pixl
int,texture Height,PARAMETER,NM N,C++,titan
int,texture Width,PARAMETER,NM N,C++,titan
vector,textures,DECLARATION,NPL,C++,titan
int,that Endpoint,DECLARATION,DT N,Java,netpulse
long,that Object,PARAMETER,DT N,Java,bytecraft
Integer,that Widget,DECLARATION,DT N,Java,gridview
Set,these Items,DECLARATION,DT NPL,Java,springcore
void*,these Segments,DECLARATION,DT NPL,C,coda
int,this Config File,PARAMETER,DT NM N,C++,apex
int,this Context,PARAMETER,DT N,Java,springcore
uint32_t,this Current Frame,PARAMETER,DT NM N,C++,prism
Integer,this Instance,DECLARATION,DT N,Java,springcore
int,this Replica,PARAMETER,DT N,Java,cloudkit
long,this Worker,DECLARATION,DT N,Java,cloudkit
int,thread Id,PARAMETER,NM N,C++,corelib
class,Thread Manager,CLASS,NM N,C++,vortex
int,threads Per Core,PARAMETER,NPL P N,C++,vortex
float,threshold,DECLARATION,N,C++,vortex
void,throttle Request,FUNCTION,V N,Java,cloudkit
unsigned,tile Size 64,PARAMETER,NM N D,C,pixl
long,time For Each Line,ATTRIBUTE,N P NM N,Java,gridview
long,time Of Creation,ATTRIBUTE,N P N,Java,dataforge
int,time Stamp,PARAMETER,NM N,Java,dataforge
double,timeout Duration,PARAMETER,NM N,Java,nodelink
float,timer Interval,DECLARATION,NM N,C,grip
List,to Array,FUNCTION,P N,Java,bytecraft
void,to Boolean,FUNCTION,P N,Java,beanworks
void*,to Bytes,FUNCTION,P NPL,C,volt
void,to Float,FUNCTION,P N,C++,quark
void,to Integer,FUNCTION,P N,Java,beanworks
Collection,to Map,FUNCTION,P N,Java,bytecraft
String,to String,FUNCTION,P N,Java,springcore
String,token,PARAMETER,N,Java,springcore
long,token Expiry,DECLARATION,NM N,Java,cloudkit
class,Token Parser,CLASS,NM N,C++,sigma
class,Token Stream,CLASS,NM N,C++,corelib
List,tokens,DECLARATION,NPL,C++,corelib
float,tolerance Value,PARAMETER,NM N,C++,quark
String,tool Tip,ATTRIBUTE,NM N,Java,gridview
class,Toolbar Button,CLASS,NM N,Java,webstack
bool,total Active Connection Count,DECLARATION,NM NM NM N,Java,nodelink
int*,total Allocated Pages,DECLARATION,NM NM NPL,C,aeon
size_t,total Allocation Size,ATTRIBUTE,NM NM N,C,aeon
uint32_t,total Byte Count,DECLARATION,NM NM N,C,volt
int,total Compressed Block Count,DECLARATION,NM NM NM N,C,coda
int,total Count,DECLARATION,NM N,C++,sigma
int,total Elapsed Time,DECLARATION,NM NM N,C++,sigma
boolean,total Pending Requests,DECLARATION,NM NM NPL,Java,springcore
Integer,total Request Count,ATTRIBUTE,NM NM N,Java,springcore
Double,total Revenue,ATTRIBUTE,NM N,Java,dataforge
void,trace Execution,FUNCTION,V N,Java,cloudkit
long,trace Id,ATTRIBUTE,NM N,Java,cloudkit
void,train Model,FUNCTION,V N,Java,dataforge
long,training Data,PARAMETER,NM N,Java,dataforge
void,trak context,FUNCTION,PRE N,C,trak
void,trak create process,FUNCTION,PRE V N,C,trak
int,trak default stack size,DECLARATION,PRE NM NM N,C,trak
void,trak destroy thread,FUNCTION,PRE V N,C,trak
bool,trak get active threads,FUNCTION,PRE V NM NPL,C,trak
unsigned,trak get default stack size,FUNCTION,PRE V NM NM N,C,trak
int*,trak get process table,FUNCTION,PRE V NM N,C,trak
void,trak init,FUNCTION,PRE V,C,trak
int*,trak list threads,FUNCTION,PRE V NPL,C,trak
void,trak mutex,FUNCTION,PRE N,C,trak
int,trak pid,DECLARATION,PRE N,C,trak
void*,trak process table,FUNCTION,PRE V N,C,trak
void,trak shutdown,FUNCTION,PRE V,C,trak
void*,trak threads,DECLARATION,PRE NPL,C,trak
void,transform Node,FUNCTION,V N,C++,helix
class,Transformer,CLASS,N,Java,beanworks
size_t,translate Vertex,FUNCTION,V N,C++,prism
List,traverse Tree,FUNCTION,V N,C++,sigma
Set,truncate Table,FUNCTION,V N,Java,beanworks
void,try Or Fail,FUNCTION,V CJ V,Java,cloudkit
class,Tuple 2,CLASS,N D,C++,quark
class,Tuple 3,CLASS,N D,C++,quark
int,tx 0,DECLARATION,N D,C,volt
std::string,type,PARAMETER,N,C++,sigma
class,Type Checker,CLASS,NM N,C++,helix
int,type_attr,ATTRIBUTE,N,Java,bytecraft
uint32_t,udp Port,DECLARATION,NM N,C,nexus
void,unregister Handler,FUNCTION,V N,C,dusk
void,unsubscribe,FUNCTION,V,Java,netpulse
void,update Atomically,FUNCTION,V VM,C++,oxide
void,update Cache,FUNCTION,V N,Java,bytecraft
void,update Cache Immediately,FUNCTION,V N VM,Java,bytecraft
void,update Dirty Pages,FUNCTION,V NM NPL,C,aeon
Double,update Frequency,ATTRIBUTE,NM N,Java,netpulse
void,update Listeners,FUNCTION,V NPL,Java,springcore
void,update Modified Records,FUNCTION,V NM NPL,Java,dataforge
void,update Pending Tasks,FUNCTION,V NM NPL,Java,springcore
void,update Physics,FUNCTION,V N,C++,apex
void,update Quietly,FUNCTION,V VM,Java,pulseforge
void,update Render Target,FUNCTION,V NM N,C++,apex
void,update Total Allocated Pages,FUNCTION,V NM NM NPL,C,aeon
void,update Viewport,FUNCTION,V N,C++,apex
void,upload Artifact,FUNCTION,V N,Java,cloudkit
String,utf 16 2 utf 8,FUNCTION,N D P N D,C,forge
void*,utf 8 2 wchar,FUNCTION,N D P N,C,forge
class,UTF Encoder 8,CLASS,NM N D,Java,bytecraft
int,v 0,PARAMETER,N D,C++,apex
Integer,vacuum Index,FUNCTION,V N,Java,beanworks
String,validate Access Token,FUNCTION,V NM N,Java,webstack
void,validate And Save,FUNCTION,V CJ V,Java,dataforge
String,validate Auth Token,FUNCTION,V NM N,Java,springcore
Collection,validate Fields,FUNCTION,V NPL,Java,dataforge
void,validate Input,FUNCTION,V N,Java,dataforge
void,validate Input Parameters,FUNCTION,V NM NPL,Java,webstack
String,validate Request Body,FUNCTION,V NM N,Java,webstack
Collection,validate Required Fields,FUNCTION,V NM NPL,Java,springcore
List,validate Required Input Fields,FUNCTION,V NM NM NPL,Java,dataforge
void,validate Schema,FUNCTION,V N,Java,beanworks
class,Validator,CLASS,N,Java,beanworks
double,value,PARAMETER,N,Java,bytecraft
int,value 0,DECLARATION,N D,C++,neutron
List,values,DECLARATION,NPL,Java,bytecraft
Real,variance,ATTRIBUTE,N,C++,quark
class,Vector 2,CLASS,N D,C++,apex
class,Vector 3,CLASS,N D,C++,apex
String,vendor Name,ATTRIBUTE,NM N,Java,beanworks
void,verify Signature,FUNCTION,V N,C,zeno
long,version,DECLARATION,N,Java,dataforge
int,version 2,DECLARATION,N D,Java,springcore
size_t,vertex 1,PARAMETER,N D,C++,apex
long,vertex 2,PARAMETER,N D,C++,apex
long,vertex Buffer,DECLARATION,NM N,C++,apex
size_t,vertex Count,PARAMETER,NM N,C++,prism
vector,vertices,DECLARATION,NPL,C++,prism
class,View Controller,CLASS,NM N,swift,gridview
long,viewport,DECLARATION,N,C++,prism
boolean,visible Columns,DECLARATION,NM NPL,Java,gridview
class,Volatile Memory Region,CLASS,NM NM N,C++,quark
void,volt close sockets,FUNCTION,PRE V NPL,C,volt
char*,volt get packet header,FUNCTION,PRE V NM N,C,volt
void,volt init,FUNCTION,PRE V,C,volt
long,volt max packet size,DECLARATION,PRE NM NM N,C,volt
void,volt packet,FUNCTION,PRE N,C,volt
char*,volt packet header,DECLARATION,PRE NM N,C,volt
void,volt receive packet,FUNCTION,PRE V N,C,volt
int*,volt scan open sockets,FUNCTION,PRE V NM NPL,C,volt
void,volt send datagram,FUNCTION,PRE V N,C,volt
int,volt socket,DECLARATION,PRE N,C,volt
int*,volt sockets,DECLARATION,PRE NPL,C,volt
void,vx buffer,FUNCTION,PRE N,C,libvx
void,vx context,FUNCTION,PRE N,C,libvx
void,vx create context,FUNCTION,PRE V N,C,libvx
void,vx create shader program,FUNCTION,PRE V NM N,C,libvx
void,vx default context,FUNCTION,PRE NM N,C,libvx
void,vx default error handler,FUNCTION,PRE NM NM N,C,libvx
void,vx destroy buffer,FUNCTION,PRE V N,C,libvx
long,vx error code,DECLARATION,PRE NM N,C,libvx
int,vx get active listeners,FUNCTION,PRE V NM NPL,C,libvx
int,vx get error code,FUNCTION,PRE V NM N,C,libvx
int*,vx get listeners,FUNCTION,PRE V NPL,C,libvx
uint32_t,vx get max buffer size,FUNCTION,PRE V NM NM N,C,libvx
void,vx init,FUNCTION,PRE V,C,libvx
void*,vx listeners,FUNCTION,PRE NPL,C,libvx
void,vx rgb 2 gray,FUNCTION,PRE N P N,C,libvx
long,vx status,DECLARATION,PRE N,C,libvx
int,w Param,DECLARATION,PRE N,C,kron
void,wait For Child,FUNCTION,V P N,C,kron
void,wait For Signal,FUNCTION,V P N,C,dusk
boolean,warn If Null,FUNCTION,V CJ NM,Java,springcore
bool,was Deleted Object,DECLARATION,V NM N,C++,sigma
bool,was Evicted,DECLARATION,V V,Java,cloudkit
const char*,waveform Type,DECLARATION,NM N,C,plex
char*,wchar 2 utf 8,FUNCTION,N P N D,C,forge
double,weight,ATTRIBUTE,N,C++,quark
int,weight Matrix,DECLARATION,NM N,C++,neutron
vector,weighted Samples,PARAMETER,NM NPL,C++,quark
List,weights,PARAMETER,NPL,C++,quark
class,Widget,CLASS,N,C++,vortex
uint32_t,width,DECLARATION,N,C,pixl
size_t,width And Height,DECLARATION,N CJ N,C++,vortex
int,width_attr,ATTRIBUTE,N,C++,vortex
int,will Close Socket,FUNCTION,V V N,C,volt
boolean,will Invalidate Cache,FUNCTION,V V N,Java,bytecraft
bool,will Restart,FUNCTION,V V,C++,oxide
bool,will Terminate,FUNCTION,V V,C++,vortex
int,with Context,PARAMETER,P N,Java,webstack
Set,with Default Options,PARAMETER,P NM NPL,Java,cloudkit
Map,with Headers,PARAMETER,P NPL,Java,netpulse
long,with Retry Policy,PARAMETER,P NM N,Java,pulseforge
void,write Binary Data,FUNCTION,V NM N,C,coda
void,write Buffer,FUNCTION,V N,C,blitz
void,write Bytes To Stream,FUNCTION,V N P N,Java,springcore
void,write Error Log,FUNCTION,V NM N,C,forge
void,write Log To Error File,FUNCTION,V N P NM N,C,forge
uint32_t,write Position,ATTRIBUTE,NM N,C++,oxide
void,write Record To Database,FUNCTION,V N P N,Java,dataforge
int,write Timeout,PARAMETER,NM N,Java,netpulse
void,write To File,FUNCTION,V P N,C,forge
void,write To Socket,FUNCTION,V P N,C,volt
uint32_t,x,DECLARATION,N,C,libvx
int,x 1,PARAMETER,N D,C,quark
String,xml 2 json,FUNCTION,N P N,Java,beanworks
int,y,DECLARATION,N,C,libvx
unsigned,y 2,PARAMETER,N D,C,quark
void,yield Processor,FUNCTION,V N,C,trak
void,yuv 2 rgb,FUNCTION,N P N,C++,pixl
int,z,DECLARATION,N,C,libvx
long,z Index,ATTRIBUTE,NM N,C++,vortex
void,zeno cipher,FUNCTION,PRE N,C,zeno
long,zeno cipher context,DECLARATION,PRE NM N,C,zeno
int,zeno default key length,DECLARATION,PRE NM NM N,C,zeno
void,zeno generate key,FUNCTION,PRE V N,C,zeno
void,zeno init,FUNCTION,PRE V,C,zeno
uint32_t,zeno key,DECLARATION,PRE N,C,zeno
void,zeno set cipher context,FUNCTION,PRE V NM N,C,zeno
void,zeno verify hash,FUNCTION,PRE V N,C,zeno
Integer,zone 1,ATTRIBUTE,N D,Java,cloudkit
float,zoom Factor,DECLARATION,NM N,C++,prism
char*,zyra parse token,FUNCTION,PRE V N,C,zyra
int*,zyra resolve symbol table,FUNCTION,PRE V NM N,C,zyra
