WORD,TAG,POS_SEQUENCE
data,NPL,layout:NM data:NPL
all,DT,ss:N all:DT
token,NM,has:V upgrade:NM token:NM in:P connection:N
deformable,NM,bt:PRE deformable:NM contact:NM constraint:N
all,DT,all:DT fields:NPL
base32,NM,string:N base32:NM decode:V
to,N,to:N visit:N
after,P,after:P channel:N
sort,V,sort:V collector:NM labels:NPL 2:D
width,N,m:PRE window:NM width:N
vec,NM,num:NM vec:NM per:P segment:N
in,P,in:P neighbour:NM heap:N
step,N,step:N x:N
idb,PRE,idb:PRE 1:D if:CJ description:N
pred,N,or:NM pred:N
position,N,tool:NM view:NM position:N
progress,NM,progress:NM out:N
token,NM,received:NM token:NM signature:N
runner,NM,runner:NM scheduler:N
listener,N,of:PRE orientation:NM listener:N
username,N,unknown:NM username:N
provided,V,provided:V schema:N
grpc,PRE,grpc:PRE json:NM writer:NM value:NM string:N
to,P,to:P read:NM remaining:V
vars,NPL,env:NM vars:NPL slave:NM info:NM display:NM name:N
len,NM,len:NM a:N
m,PRE,m:PRE count:NM activities:NPL
h,N,dep:N h:N
ambient,NM,ambient:NM coefficient:N
contextualize,NM,contextualize:NM closures:NPL
assertion,NM,m:PRE last:DT assertion:NM info:N
big,NM,get:V decimal:N 9:D from:P big:NM decimal:N
